collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
047/250,'72 Stingray Convertible,'72 Stingray Convertible,2024,Factory Fresh,Mainline,5/10,HTC50,,,,Hot Wheels,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/42/StingrayConvertible.jpg/revision/latest
048/250,Loopster,Loopster,2024,Experimotors,Mainline,2/5,HTC56,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/ca/2024ML-048B_%28Large%29.JPG/revision/latest
049/250,Honda CB750 Café,Honda CB750 Café,2024,Rod Squad,Mainline,2/5,HTC61,,,,Honda,Rod Squad,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/8a/Honda_CB750_Cafe_-_2024_-_Rod_Squad_-_HTC61.jpg/revision/latest
050/250,Limited Grip,Limited Grip,2024,Rod Squad,Mainline,3/5,HTC62,,,,Hot Wheels,Rod Squad,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c4/HTC62_01.jpg/revision/latest
051/250,El Segundo Coupe,El Segundo Coupe,2024,HW Turbo,Mainline,1/5,HTC63,,,,Hot Wheels,HW Turbo,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0e/TurboCoupe.jpg/revision/latest
052/250,Knight Draggin',Knight Draggin',2024,HW Celebration Racers Year of the Dragon,Mainline,2/10,HRY96,,,,Hot Wheels,HW Celebration Racers Year of the Dragon,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/31/Knight_Draggin%27_-_2024_-_HW_Celebration_Racers_-_HRY96.jpg/revision/latest
053/250,1978 Dodge Li'l Red Express Truck,1978 Dodge Li'l Red Express Truck,2024,HW Celebration Racers Valentine's Day,Mainline,3/10,HRY97,,,,Dodge,HW Celebration Racers Valentine's Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/27/Dodge_Li%27l_Red_Express_Truck_1978_-_2024_-_HW_Celebration_Racers_-_HRY97.jpg/revision/latest
054/250,Batman &amp; Robin Batmobile,Batman &amp; Robin Batmobile,2024,Batman,Mainline,2/5,HRY54,,,,DC Comics,Batman,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/77/GeorgeClooneyBatmobile.jpg/revision/latest
055/250,HW Ultimate T-Rex Transporter,HW Ultimate T-Rex Transporter,2024,HW Screen Time,Mainline,4/10,HRY50,,,,Hot Wheels,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/29/T-RexTransporter.jpg/revision/latest
056/250,West Coast Flyer,West Coast Flyer,2024,HW Fast Transit New in Mainline,Mainline,4/5,HTB44,,,,Hot Wheels,HW Fast Transit New in Mainline,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b2/HWBullet.jpg/revision/latest
