collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
176/250,'96 Dodge Viper GTS,'96 Dodge Viper GTS,2025,Then and Now,Mainline,4/10,HYW50,,,,Dodge,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/52/DodgeViperGTS.jpg/revision/latest
177/250,Vespa 90 SS Super Sprint (1966),Vespa 90 SS Super Sprint (1966),2025,HW Moto,Mainline,2/5,JBB07,,,,Hot Wheels,HW Moto,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b8/1966Vespa.jpg/revision/latest
178/250,'17 Ford F-150 Raptor,'17 Ford F-150 Raptor,2025,HW Dirt,Mainline,9/10,JBB05,,,,Ford,HW Dirt,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/ce/2017FordRaptorRace.jpg/revision/latest
179/250,'15 Land Rover Defender Double Cab,'15 Land Rover Defender Double Cab,2025,HW Dirt,Mainline,10/10,JBB06,,,,Land Rover,HW Dirt,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/76/2015Defender.jpg/revision/latest
180/250,Chill Mill,Chill Mill,2025,Fast Foodie,Mainline,4/5,JBC28,,,,Hot Wheels,Fast Foodie,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/1d/2025_Chill_Mill_%28HWLR%29.jpg/revision/latest
181/250,Honda Motocompo,Honda Motocompo,2025,HW Moto,Mainline,3/5,HYW43,,,,Honda,HW Moto,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/3d/HondaMotocompo.jpg/revision/latest
182/250,'62 Corvette Gasser,'62 Corvette Gasser,2025,HW Reverse Rake,Mainline,4/5,JBB08,,,,Chevrolet,HW Reverse Rake,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/cf/ChevroletCorvetteGasser.jpg/revision/latest
183/250,Drift'n Break,Drift'n Break,2025,HW Wagons,Mainline,1/5,JBB09,,,,Hot Wheels,HW Wagons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/58/DriftWagon.jpg/revision/latest
184/250,Track Dwagon,Track Dwagon,2025,HW Wagons,Mainline,2/5,JBB10,,,,Hot Wheels,HW Wagons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/2c/Track%27dWagon.jpg/revision/latest
185/250,BMW 635 CSi,BMW 635 CSi,2025,Wild Widebody,Mainline,1/5,HYW38,,,,BMW,Wild Widebody,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f8/BMW635CSi.jpg/revision/latest
186/250,'89 Mercedes-Benz 560 SEC AMG,'89 Mercedes-Benz 560 SEC AMG,2025,Wild Widebody,Mainline,2/5,JBB11,,,,Mercedes-Benz,Wild Widebody,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/bd/560SECWidebody.jpg/revision/latest
187/250,Porsche 911 Carrera Clip,Porsche 911 Carrera Clip,2025,Experimotors,Mainline,6/10,JBB12,,,,Porsche,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fe/CarreraClip.jpg/revision/latest
188/250,Decidedly Go,Decidedly Go,2025,Experimotors,Mainline,7/10,HYW39,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/39/DecidedlyGo.jpg/revision/latest
189/250,'67 Mustang,'67 Mustang,2025,Muscle Mania,Mainline,3/10,JBB13,,,,Ford,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/58/1967FordMustang.jpg/revision/latest
190/250,Gordon Murray Automotive T.50s,Gordon Murray Automotive T.50s,2025,HW Exotics,Mainline,3/5,JBB14,,,,Hot Wheels,HW Exotics,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/56/GMAT.50s.jpg/revision/latest
191/250,Ferrari SF90 Stradale,Ferrari SF90 Stradale,2025,Factory Fresh,Mainline,5/5,HYW34,,,,Hot Wheels,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a8/FerrariSF90Stradale.jpg/revision/latest
192/250,Czinger 21C,Czinger 21C,2025,Peak Pursuit,Mainline,1/10,JBB31,,,,Hot Wheels,Peak Pursuit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/42/2024Czinger.jpg/revision/latest
193/250,'68 Lotus Type 49,'68 Lotus Type 49,2025,HW Race Day,Mainline,8/10,HYX18,,,,Lotus,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f9/GoldLeafLotus.jpg/revision/latest
194/250,Formula E Gen3,Formula E Gen3,2025,Track Aces,Mainline,4/5,HYY56,,,,Hot Wheels,Track Aces,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/84/McLarenFEGen3.jpg/revision/latest
195/250,Alfa Romeo Giulia TI Super,Alfa Romeo Giulia TI Super,2025,Compact Kings,Mainline,7/10,HYW40,,,,Alfa Romeo,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f3/AlfaRomeoGiuliaTISuper.jpg/revision/latest
196/250,Mazda RX-3,Mazda RX-3,2025,Compact Kings,Mainline,8/10,HYX24,,,,Mazda,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/56/%27ToonedMazdaRX-3GT.jpg/revision/latest
